Frame Number, File Size (bytes), File Size (kB)
293, 273327, 266.92, Left
293, 289371, 282.58, Right
298, 308680, 301.44, Left
298, 321323, 313.79, Right
304, 264664, 258.46, Left
304, 267617, 261.34, Right
311, 262307, 256.15, Left
311, 279238, 272.69, Right
318, 301120, 294.06, Left
318, 300928, 293.87, Right
324, 327126, 319.45, Left
324, 336106, 328.22, Right
330, 360596, 352.14, Left
330, 369059, 360.40, Right
335, 329643, 321.91, Left
335, 324578, 316.97, Right
340, 376333, 367.51, Left
340, 388405, 379.30, Right
345, 303713, 296.59, Left
345, 319194, 311.71, Right
349, 267396, 261.12, Left
349, 290421, 283.61, Right
354, 358378, 349.97, Left
354, 357425, 349.04, Right
358, 320996, 313.47, Left
358, 336109, 328.23, Right
362, 329659, 321.93, Left
362, 341646, 333.63, Right
366, 316198, 308.78, Left
366, 325542, 317.91, Right
370, 310213, 302.94, Left
370, 305555, 298.39, Right
374, 277207, 270.70, Left
374, 288954, 282.18, Right
378, 268778, 262.47, Left
378, 276889, 270.39, Right
382, 261583, 255.45, Left
382, 273257, 266.85, Right
385, 238498, 232.90, Left
385, 233180, 227.71, Right
388, 251504, 245.60, Left
388, 246581, 240.80, Right
391, 268359, 262.06, Left
391, 257257, 251.22, Right
394, 281295, 274.70, Left
394, 282964, 276.33, Right
397, 262294, 256.14, Left
397, 261855, 255.71, Right
400, 248447, 242.62, Left
400, 263962, 257.77, Right
404, 283170, 276.53, Left
404, 308110, 300.88, Right
408, 290911, 284.09, Left
408, 311852, 304.54, Right
412, 292996, 286.12, Left
412, 310434, 303.15, Right
416, 287882, 281.13, Left
416, 312478, 305.15, Right
420, 274854, 268.41, Left
420, 283998, 277.34, Right
424, 289083, 282.30, Left
424, 317007, 309.57, Right
428, 290166, 283.36, Left
428, 315506, 308.11, Right
432, 286680, 279.96, Left
432, 313299, 305.95, Right
436, 271751, 265.38, Left
436, 289151, 282.37, Right
441, 293879, 286.99, Left
441, 325705, 318.07, Right
445, 296174, 289.23, Left
445, 324838, 317.22, Right
448, 248142, 242.32, Left
448, 260045, 253.95, Right
451, 236086, 230.55, Left
451, 248904, 243.07, Right
454, 228283, 222.93, Left
454, 242574, 236.88, Right
457, 270157, 263.82, Left
457, 279963, 273.40, Right
460, 254064, 248.10, Left
460, 258633, 252.57, Right
463, 247262, 241.46, Left
463, 251492, 245.59, Right
466, 236983, 231.42, Left
466, 233623, 228.14, Right
469, 224705, 219.43, Left
469, 229664, 224.28, Right
472, 224791, 219.52, Left
472, 233040, 227.57, Right
476, 241135, 235.48, Left
476, 251989, 246.08, Right
480, 240413, 234.77, Left
480, 247308, 241.51, Right
484, 237695, 232.12, Left
484, 259214, 253.13, Right
488, 244024, 238.30, Left
488, 254675, 248.70, Right
492, 240191, 234.56, Left
492, 248865, 243.03, Right
496, 256518, 250.50, Left
496, 252142, 246.23, Right
500, 309387, 302.13, Left
500, 315957, 308.55, Right
503, 277428, 270.92, Left
503, 287890, 281.14, Right
506, 258238, 252.18, Left
506, 278418, 271.89, Right
509, 261544, 255.41, Left
509, 269309, 262.99, Right
513, 282703, 276.07, Left
513, 299475, 292.45, Right
517, 289430, 282.64, Left
517, 298707, 291.70, Right
521, 301607, 294.53, Left
521, 313654, 306.30, Right
525, 331189, 323.42, Left
525, 343489, 335.43, Right
528, 264565, 258.36, Left
528, 275663, 269.20, Right
532, 249111, 243.27, Left
532, 258011, 251.96, Right
536, 245034, 239.29, Left
536, 256897, 250.87, Right
540, 247207, 241.41, Left
540, 270784, 264.43, Right
544, 270856, 264.50, Left
544, 291418, 284.58, Right
548, 311214, 303.91, Left
548, 321503, 313.96, Right
552, 328483, 320.78, Left
552, 338472, 330.53, Right
556, 359370, 350.94, Left
556, 372253, 363.52, Right
561, 340847, 332.85, Left
561, 354347, 346.04, Right
565, 266410, 260.16, Left
565, 272969, 266.57, Right
569, 307132, 299.93, Left
569, 312449, 305.12, Right
573, 267571, 261.29, Left
573, 275711, 269.24, Right
577, 347015, 338.88, Left
577, 365649, 357.07, Right
582, 344898, 336.81, Left
582, 358662, 350.25, Right
587, 314727, 307.35, Left
587, 331106, 323.34, Right
592, 295087, 288.17, Left
592, 298682, 291.68, Right
597, 318389, 310.92, Left
597, 334099, 326.26, Right
603, 365450, 356.88, Left
603, 383285, 374.30, Right
609, 354992, 346.67, Left
609, 374037, 365.27, Right
614, 323137, 315.56, Left
614, 333749, 325.92, Right
619, 281531, 274.93, Left
619, 286847, 280.12, Right
624, 285913, 279.21, Left
624, 280294, 273.72, Right
629, 242990, 237.29, Left
629, 251982, 246.07, Right
634, 337366, 329.45, Left
634, 357644, 349.26, Right
639, 350856, 342.63, Left
639, 368752, 360.10, Right
644, 357653, 349.27, Left
644, 373257, 364.50, Right
649, 347753, 339.60, Left
649, 365862, 357.28, Right
653, 268641, 262.34, Left
653, 281756, 275.15, Right
657, 278491, 271.96, Left
657, 288531, 281.76, Right
662, 345273, 337.18, Left
662, 366545, 357.95, Right
666, 305244, 298.08, Left
666, 323201, 315.62, Right
670, 306137, 298.96, Left
670, 328116, 320.42, Right
674, 344392, 336.32, Left
674, 359888, 351.45, Right
678, 351189, 342.95, Left
678, 374886, 366.09, Right
682, 262032, 255.89, Left
682, 298850, 291.84, Right
686, 274063, 267.63, Left
686, 292669, 285.80, Right
690, 293149, 286.27, Left
690, 306457, 299.27, Right
694, 251228, 245.33, Left
694, 259651, 253.56, Right
698, 258272, 252.21, Left
698, 265808, 259.57, Right
701, 248880, 243.04, Left
701, 254475, 248.51, Right
705, 286576, 279.85, Left
705, 299728, 292.70, Right
709, 272003, 265.62, Left
709, 277015, 270.52, Right
712, 275758, 269.29, Left
712, 283105, 276.46, Right
716, 317953, 310.50, Left
716, 338698, 330.75, Right
720, 317023, 309.59, Left
720, 349580, 341.38, Right
723, 285477, 278.78, Left
723, 290008, 283.21, Right
727, 330264, 322.52, Left
727, 351272, 343.03, Right
732, 319211, 311.72, Left
732, 337964, 330.04, Right
735, 246267, 240.49, Left
735, 255004, 249.02, Right
738, 233320, 227.85, Left
738, 247258, 241.46, Right
739, 246613, 240.83, Left
739, 265599, 259.37, Right
742, 202828, 198.07, Left
742, 221795, 216.59, Right
745, 207772, 202.90, Left
745, 220838, 215.66, Right
748, 222508, 217.29, Left
748, 222921, 217.69, Right
751, 241479, 235.81, Left
751, 234966, 229.45, Right
754, 265386, 259.16, Left
754, 271271, 264.91, Right
757, 243460, 237.75, Left
757, 262022, 255.88, Right
760, 239627, 234.01, Left
760, 258166, 252.11, Right
763, 218505, 213.38, Left
763, 231113, 225.69, Right
767, 244690, 238.95, Left
767, 237959, 232.38, Right
771, 241347, 235.69, Left
771, 243514, 237.80, Right
775, 224329, 219.07, Left
775, 234421, 228.92, Right
778, 241391, 235.73, Left
778, 249480, 243.63, Right
781, 250841, 244.96, Left
781, 254290, 248.33, Right
784, 257766, 251.72, Left
784, 254085, 248.12, Right
787, 254797, 248.82, Left
787, 253251, 247.31, Right
788, 252473, 246.55, Left
788, 250527, 244.65, Right
789, 240961, 235.31, Left
789, 239231, 233.62, Right
790, 232631, 227.17, Left
790, 229524, 224.14, Right
791, 222054, 216.84, Left
791, 218933, 213.80, Right
792, 230924, 225.51, Left
792, 224905, 219.63, Right
795, 249322, 243.47, Left
795, 256934, 250.91, Right
798, 267392, 261.12, Left
798, 271727, 265.35, Right
801, 266940, 260.68, Left
801, 274731, 268.29, Right
805, 271608, 265.24, Left
805, 288360, 281.60, Right
809, 273327, 266.92, Left
809, 283878, 277.22, Right
812, 250757, 244.87, Left
812, 272944, 266.54, Right
815, 268314, 262.02, Left
815, 283953, 277.29, Right
818, 295066, 288.15, Left
818, 313539, 306.19, Right
822, 283361, 276.71, Left
822, 290781, 283.96, Right
826, 285723, 279.02, Left
826, 300235, 293.19, Right
829, 263324, 257.15, Left
829, 282979, 276.34, Right
832, 281151, 274.56, Left
832, 276659, 270.17, Right
835, 267087, 260.82, Left
835, 279590, 273.03, Right
838, 256601, 250.58, Left
838, 280916, 274.33, Right
842, 286493, 279.77, Left
842, 307709, 300.49, Right
846, 293796, 286.91, Left
846, 307111, 299.91, Right
850, 293091, 286.22, Left
850, 305122, 297.97, Right
854, 291976, 285.13, Left
854, 316391, 308.97, Right
859, 320818, 313.29, Left
859, 346532, 338.41, Right
864, 326742, 319.08, Left
864, 321738, 314.19, Right
869, 358746, 350.33, Left
869, 377608, 368.75, Right
873, 292454, 285.59, Left
873, 306220, 299.04, Right
877, 266609, 260.36, Left
877, 271274, 264.91, Right
881, 252957, 247.02, Left
881, 261870, 255.73, Right
885, 280981, 274.39, Left
885, 287641, 280.89, Right
889, 280845, 274.26, Left
889, 270733, 264.38, Right
894, 320579, 313.06, Left
894, 326904, 319.24, Right
899, 290533, 283.72, Left
899, 297635, 290.65, Right
904, 302372, 295.28, Left
904, 316164, 308.75, Right
910, 342442, 334.41, Left
910, 363085, 354.57, Right
915, 287824, 281.07, Left
915, 293881, 286.99, Right
920, 230305, 224.90, Left
920, 236031, 230.49, Right
926, 302978, 295.87, Left
926, 312339, 305.01, Right
932, 304857, 297.71, Left
932, 307345, 300.14, Right
938, 281970, 275.36, Left
938, 287682, 280.93, Right
944, 305898, 298.72, Left
944, 319381, 311.89, Right
950, 234732, 229.23, Left
950, 236490, 230.94, Right
955, 318781, 311.30, Left
955, 332049, 324.26, Right
960, 339646, 331.68, Left
960, 365351, 356.78, Right
965, 317897, 310.44, Left
965, 335959, 328.08, Right
970, 373547, 364.79, Left
970, 398820, 389.47, Right
975, 379534, 370.63, Left
975, 408455, 398.88, Right
979, 350301, 342.09, Left
979, 369640, 360.97, Right
984, 369872, 361.20, Left
984, 390790, 381.63, Right
988, 322696, 315.13, Left
988, 335992, 328.11, Right
991, 262459, 256.30, Left
991, 268987, 262.68, Right
994, 260336, 254.23, Left
994, 269742, 263.41, Right
997, 261106, 254.98, Left
997, 269665, 263.34, Right
1000, 232967, 227.50, Left
1000, 241546, 235.88, Right
1003, 243049, 237.35, Left
1003, 243581, 237.87, Right
1007, 253811, 247.86, Left
1007, 255568, 249.57, Right
1011, 265164, 258.94, Left
1011, 295976, 289.03, Right
1014, 259224, 253.14, Left
1014, 269814, 263.49, Right
1017, 241847, 236.17, Left
1017, 255865, 249.86, Right
1021, 295722, 288.79, Left
1021, 304805, 297.66, Right
1025, 241943, 236.27, Left
1025, 244523, 238.79, Right
1030, 286277, 279.56, Left
1030, 299540, 292.51, Right
1035, 276837, 270.34, Left
1035, 294127, 287.23, Right
1039, 221695, 216.49, Left
1039, 232217, 226.77, Right
1043, 266108, 259.87, Left
1043, 279823, 273.26, Right
1049, 281452, 274.85, Left
1049, 284907, 278.22, Right
1053, 266842, 260.58, Left
1053, 261129, 255.00, Right
1056, 213341, 208.34, Left
1056, 217646, 212.54, Right
1060, 269090, 262.78, Left
1060, 275078, 268.63, Right
1064, 303898, 296.77, Left
1064, 311839, 304.53, Right
1069, 291369, 284.54, Left
1069, 292906, 286.04, Right
1072, 240423, 234.78, Left
1072, 228225, 222.87, Right
1075, 189434, 184.99, Left
1075, 189212, 184.77, Right
1078, 213073, 208.07, Left
1078, 211227, 206.27, Right
1081, 203069, 198.30, Left
1081, 208253, 203.37, Right
1084, 194097, 189.54, Left
1084, 206340, 201.50, Right
1088, 205601, 200.78, Left
1088, 224087, 218.83, Right
1091, 216802, 211.72, Left
1091, 227259, 221.93, Right
1094, 229116, 223.74, Left
1094, 226990, 221.66, Right
1095, 216157, 211.09, Left
1095, 217280, 212.18, Right
1098, 198896, 194.23, Left
1098, 205107, 200.29, Right
1101, 184842, 180.50, Left
1101, 200150, 195.45, Right
1104, 182413, 178.13, Left
1104, 204545, 199.75, Right
1105, 180087, 175.86, Left
1105, 192218, 187.71, Right
1106, 173972, 169.89, Left
1106, 184642, 180.31, Right
1107, 187399, 183.00, Left
1107, 197177, 192.55, Right
1108, 185899, 181.54, Left
1108, 192058, 187.55, Right
1109, 188457, 184.04, Left
1109, 190657, 186.18, Right
1110, 190413, 185.95, Left
1110, 198599, 193.94, Right
1111, 197956, 193.31, Left
1111, 201914, 197.18, Right
1112, 204225, 199.43, Left
1112, 210606, 205.66, Right
1115, 227517, 222.18, Left
1115, 238017, 232.43, Right
1118, 281445, 274.84, Left
1118, 303664, 296.54, Right
1121, 239232, 233.62, Left
1121, 244240, 238.51, Right
1125, 307569, 300.36, Left
1125, 308047, 300.82, Right
1129, 332818, 325.01, Left
1129, 340157, 332.18, Right
1133, 217950, 212.84, Left
1133, 236759, 231.20, Right
1137, 267602, 261.33, Left
1137, 279933, 273.37, Right
1141, 304871, 297.72, Left
1141, 314900, 307.51, Right
1145, 305203, 298.04, Left
1145, 305771, 298.60, Right
1150, 307334, 300.13, Left
1150, 311780, 304.47, Right
1154, 324142, 316.54, Left
1154, 330556, 322.80, Right
1158, 348910, 340.73, Left
1158, 366978, 358.37, Right
1162, 363719, 355.19, Left
1162, 379371, 370.47, Right
1167, 365158, 356.59, Left
1167, 382382, 373.41, Right
1172, 345168, 337.07, Left
1172, 356479, 348.12, Right
1177, 355008, 346.68, Left
1177, 352192, 343.93, Right
1181, 262583, 256.42, Left
1181, 271460, 265.09, Right
1185, 272673, 266.28, Left
1185, 266573, 260.32, Right
1189, 296133, 289.19, Left
1189, 299603, 292.58, Right
1193, 332155, 324.37, Left
1193, 350222, 342.01, Right
1197, 308534, 301.30, Left
1197, 316085, 308.67, Right
1201, 350331, 342.12, Left
1201, 343743, 335.68, Right
1206, 281630, 275.02, Left
1206, 279356, 272.80, Right
1211, 291227, 284.40, Left
1211, 298191, 291.20, Right
1217, 254440, 248.47, Left
1217, 266779, 260.52, Right
1223, 325584, 317.95, Left
1223, 344143, 336.07, Right
1229, 339595, 331.63, Left
1229, 348261, 340.09, Right
1234, 303217, 296.11, Left
1234, 322387, 314.83, Right
1239, 349916, 341.71, Left
1239, 373830, 365.06, Right
1243, 319497, 312.00, Left
1243, 356396, 348.04, Right
1247, 271264, 264.90, Left
1247, 273298, 266.89, Right
1251, 313781, 306.42, Left
1251, 332742, 324.94, Right
1255, 333274, 325.46, Left
1255, 351373, 343.13, Right
1259, 337268, 329.36, Left
1259, 350453, 342.23, Right
1263, 302406, 295.31, Left
1263, 331022, 323.26, Right
1268, 325893, 318.25, Left
1268, 351121, 342.89, Right
1272, 315197, 307.80, Left
1272, 328447, 320.74, Right
1277, 340562, 332.58, Left
1277, 351143, 342.91, Right
1281, 301644, 294.57, Left
1281, 315869, 308.46, Right
1285, 280012, 273.44, Left
1285, 285809, 279.11, Right
1289, 257348, 251.31, Left
1289, 259457, 253.37, Right
1293, 251462, 245.56, Left
1293, 250092, 244.23, Right
1297, 264986, 258.77, Left
1297, 261806, 255.66, Right
1301, 218131, 213.01, Left
1301, 232564, 227.11, Right
1305, 246628, 240.84, Left
1305, 241100, 235.44, Right
1309, 232895, 227.43, Left
1309, 234356, 228.86, Right
1313, 241598, 235.93, Left
1313, 254689, 248.71, Right
1317, 232892, 227.43, Left
1317, 235737, 230.21, Right
1321, 240630, 234.99, Left
1321, 253529, 247.58, Right
1325, 281154, 274.56, Left
1325, 299064, 292.05, Right
1328, 246357, 240.58, Left
1328, 257303, 251.27, Right
1332, 258213, 252.16, Left
1332, 280201, 273.63, Right
1336, 270549, 264.20, Left
1336, 279681, 273.12, Right
1340, 273625, 267.21, Left
1340, 288615, 281.85, Right
1344, 278977, 272.43, Left
1344, 305813, 298.64, Right
1348, 293126, 286.25, Left
1348, 315255, 307.86, Right
1351, 240482, 234.84, Left
1351, 250087, 244.22, Right
1354, 236730, 231.18, Left
1354, 257186, 251.15, Right
1357, 240537, 234.89, Left
1357, 260566, 254.45, Right
1360, 229892, 224.50, Left
1360, 242338, 236.65, Right
1363, 256923, 250.90, Left
1363, 264688, 258.48, Right
1367, 263571, 257.39, Left
1367, 261507, 255.37, Right
1371, 217821, 212.71, Left
1371, 222159, 216.95, Right
1375, 231762, 226.33, Left
1375, 240018, 234.39, Right
1379, 248562, 242.73, Left
1379, 260384, 254.28, Right
1382, 220260, 215.09, Left
1382, 226177, 220.87, Right
1385, 247006, 241.21, Left
1385, 252757, 246.83, Right
1389, 267484, 261.21, Left
1389, 274107, 267.68, Right
1393, 268832, 262.53, Left
1393, 294168, 287.27, Right
1397, 245181, 239.43, Left
1397, 273573, 267.16, Right
1401, 222849, 217.62, Left
1401, 248496, 242.67, Right
1405, 229204, 223.83, Left
1405, 230964, 225.55, Right
1409, 240147, 234.51, Left
1409, 252776, 246.85, Right
1413, 294864, 287.95, Left
1413, 316871, 309.44, Right
1417, 309067, 301.82, Left
1417, 317548, 310.10, Right
1421, 258376, 252.32, Left
1421, 276059, 269.58, Right
1425, 288680, 281.91, Left
1425, 296851, 289.89, Right
1429, 264619, 258.41, Left
1429, 277187, 270.69, Right
1433, 237379, 231.81, Left
1433, 241616, 235.95, Right
1437, 292449, 285.59, Left
1437, 301731, 294.65, Right
1441, 312063, 304.74, Left
1441, 324006, 316.41, Right
1445, 323388, 315.80, Left
1445, 339318, 331.36, Right
1450, 352536, 344.27, Left
1450, 344791, 336.70, Right
1455, 286540, 279.82, Left
1455, 288732, 281.96, Right
1459, 333204, 325.39, Left
1459, 331412, 323.64, Right
1464, 350982, 342.75, Left
1464, 358872, 350.46, Right
1469, 296590, 289.63, Left
1469, 302421, 295.33, Right
1474, 288512, 281.75, Left
1474, 284475, 277.80, Right
1479, 289607, 282.81, Left
1479, 294957, 288.04, Right
1484, 220980, 215.80, Left
1484, 248267, 242.44, Right
1490, 302880, 295.78, Left
1490, 323158, 315.58, Right
1495, 264769, 258.56, Left
1495, 262638, 256.48, Right
1500, 276111, 269.63, Left
1500, 294083, 287.19, Right
1505, 252167, 246.25, Left
1505, 287325, 280.59, Right
1509, 227071, 221.74, Left
1509, 235880, 230.35, Right
1513, 263788, 257.60, Left
1513, 274409, 267.97, Right
1517, 307605, 300.39, Left
1517, 323322, 315.74, Right
1521, 343825, 335.76, Left
1521, 366137, 357.55, Right
1526, 341462, 333.45, Left
1526, 363329, 354.81, Right
1530, 302265, 295.18, Left
1530, 320320, 312.81, Right
1535, 377183, 368.34, Left
1535, 403403, 393.94, Right
1539, 385962, 376.91, Left
1539, 394732, 385.48, Right
1543, 283443, 276.79, Left
1543, 302117, 295.03, Right
1547, 267140, 260.87, Left
1547, 276948, 270.45, Right
1550, 258983, 252.91, Left
1550, 275559, 269.10, Right
1554, 284353, 277.68, Left
1554, 294235, 287.33, Right
1558, 261035, 254.91, Left
1558, 278544, 272.01, Right
1562, 283949, 277.29, Left
1562, 292047, 285.20, Right
1566, 314794, 307.41, Left
1566, 329530, 321.80, Right
1572, 330635, 322.88, Left
1572, 347654, 339.50, Right
1576, 287105, 280.37, Left
1576, 304185, 297.05, Right
1581, 294090, 287.19, Left
1581, 304811, 297.66, Right
1587, 284719, 278.04, Left
1587, 296207, 289.26, Right
1591, 220131, 214.97, Left
1591, 228262, 222.91, Right
1595, 224041, 218.79, Left
1595, 231389, 225.96, Right
1599, 272081, 265.70, Left
1599, 289342, 282.56, Right
1603, 272986, 266.58, Left
1603, 274539, 268.10, Right
1608, 294623, 287.71, Left
1608, 309052, 301.80, Right
1614, 311060, 303.76, Left
1614, 321571, 314.03, Right
15, 278653, 272.12, Left
15, 317243, 309.80, Right
21, 289910, 283.11, Left
21, 323992, 316.39, Right
27, 284258, 277.59, Left
27, 322471, 314.91, Right
33, 277280, 270.78, Left
33, 307759, 300.54, Right
39, 271428, 265.06, Left
39, 306813, 299.62, Right
44, 267544, 261.27, Left
44, 307692, 300.48, Right
48, 267880, 261.60, Left
48, 306401, 299.21, Right
53, 276022, 269.55, Left
53, 319077, 311.59, Right
58, 267883, 261.60, Left
58, 310056, 302.78, Right
63, 274738, 268.29, Left
63, 310897, 303.61, Right
67, 263975, 257.78, Left
67, 292301, 285.45, Right
71, 258187, 252.13, Left
71, 288166, 281.41, Right
75, 269130, 262.82, Left
75, 302302, 295.21, Right
79, 262131, 255.98, Left
79, 297851, 290.87, Right
83, 263601, 257.42, Left
83, 302306, 295.22, Right
88, 264139, 257.94, Left
88, 305248, 298.09, Right
92, 265409, 259.18, Left
92, 301957, 294.87, Right
96, 264386, 258.18, Left
96, 297260, 290.29, Right
100, 257977, 251.93, Left
100, 284380, 277.71, Right
104, 262866, 256.70, Left
104, 295096, 288.17, Right
108, 269741, 263.41, Left
108, 305437, 298.27, Right
111, 250077, 244.21, Left
111, 283002, 276.36, Right
115, 244554, 238.82, Left
115, 272258, 265.87, Right
118, 244200, 238.47, Left
118, 272537, 266.14, Right
122, 267559, 261.28, Left
122, 293266, 286.39, Right
125, 253576, 247.63, Left
125, 262378, 256.22, Right
128, 241865, 236.19, Left
128, 272013, 265.63, Right
131, 240986, 235.33, Left
131, 274555, 268.12, Right
134, 260138, 254.04, Left
134, 292608, 285.75, Right
137, 237053, 231.49, Left
137, 257011, 250.98, Right
140, 249337, 243.49, Left
140, 275892, 269.42, Right
143, 258879, 252.81, Left
143, 291061, 284.23, Right
146, 242455, 236.77, Left
146, 266569, 260.32, Right
149, 242074, 236.40, Left
149, 277294, 270.79, Right
150, 236841, 231.29, Left
150, 272722, 266.33, Right
151, 238247, 232.66, Left
151, 269335, 263.02, Right
153, 226771, 221.45, Left
153, 234924, 229.41, Right
156, 239004, 233.40, Left
156, 251784, 245.88, Right
160, 240018, 234.39, Left
160, 257469, 251.43, Right
162, 227664, 222.32, Left
162, 242219, 236.54, Right
166, 232393, 226.94, Left
166, 243876, 238.16, Right
170, 256917, 250.89, Left
170, 259150, 253.07, Right
174, 283963, 277.30, Left
174, 296247, 289.30, Right
178, 277392, 270.89, Left
178, 301421, 294.35, Right
182, 246931, 241.14, Left
182, 262062, 255.91, Right
185, 212378, 207.40, Left
185, 222698, 217.47, Right
188, 252375, 246.45, Left
188, 263590, 257.41, Right
191, 245296, 239.54, Left
191, 257877, 251.83, Right
193, 244770, 239.03, Left
193, 252243, 246.33, Right
194, 222358, 217.14, Left
194, 226973, 221.65, Right
195, 199254, 194.58, Left
195, 208554, 203.66, Right
196, 209172, 204.26, Left
196, 208828, 203.93, Right
197, 220848, 215.67, Left
197, 229350, 223.97, Right
198, 225575, 220.28, Left
198, 229238, 223.86, Right
199, 209126, 204.22, Left
199, 214510, 209.48, Right
202, 224108, 218.85, Left
202, 228775, 223.41, Right
205, 237681, 232.11, Left
205, 252577, 246.65, Right
209, 276375, 269.89, Left
209, 271986, 265.61, Right
212, 276687, 270.20, Left
212, 283483, 276.83, Right
215, 221307, 216.12, Left
215, 227464, 222.13, Right
218, 262934, 256.77, Left
218, 277155, 270.65, Right
221, 280604, 274.02, Left
221, 297433, 290.46, Right
224, 286017, 279.31, Left
224, 309394, 302.14, Right
227, 281816, 275.21, Left
227, 309404, 302.15, Right
231, 363684, 355.16, Left
231, 378780, 369.90, Right
235, 346273, 338.15, Left
235, 353383, 345.10, Right
238, 247647, 241.84, Left
238, 256755, 250.73, Right
242, 253183, 247.24, Left
242, 273832, 267.41, Right
246, 267835, 261.55, Left
246, 274707, 268.26, Right
250, 287270, 280.53, Left
250, 289340, 282.55, Right
254, 259676, 253.58, Left
254, 265241, 259.02, Right
258, 299551, 292.53, Left
258, 308410, 301.18, Right
262, 325674, 318.04, Left
262, 356874, 348.50, Right
266, 334708, 326.86, Left
266, 344606, 336.52, Right
270, 325509, 317.87, Left
270, 337115, 329.21, Right
274, 277441, 270.93, Left
274, 306051, 298.87, Right
278, 316344, 308.92, Left
278, 333854, 326.02, Right
283, 333653, 325.83, Left
283, 353058, 344.78, Right
287, 296008, 289.07, Left
287, 291250, 284.42, Right
291, 254220, 248.26, Left
291, 260176, 254.07, Right
