Frame Number, File Size (bytes), File Size (kB)
139, 250532, 244.66, Left
139, 277525, 271.02, Right
140, 249337, 243.49, Left
140, 275892, 269.42, Right
141, 248773, 242.94, Left
141, 274247, 267.81, Right
142, 260372, 254.26, Left
142, 288581, 281.81, Right
143, 258879, 252.81, Left
143, 291061, 284.23, Right
144, 249644, 243.79, Left
144, 278198, 271.67, Right
145, 240976, 235.32, Left
145, 265155, 258.94, Right
146, 242455, 236.77, Left
146, 266569, 260.32, Right
147, 238756, 233.16, Left
147, 259469, 253.38, Right
148, 238635, 233.04, Left
148, 275860, 269.39, Right
149, 242074, 236.40, Left
149, 277294, 270.79, Right
150, 236841, 231.29, Left
150, 272722, 266.33, Right
151, 238247, 232.66, Left
151, 269335, 263.02, Right
152, 220761, 215.58, Left
152, 240195, 234.56, Right
153, 226771, 221.45, Left
153, 234924, 229.41, Right
154, 225991, 220.69, Left
154, 235997, 230.46, Right
155, 216265, 211.19, Left
155, 228347, 222.99, Right
156, 239004, 233.40, Left
156, 251784, 245.88, Right
157, 238218, 232.63, Left
157, 245771, 240.01, Right
158, 231903, 226.46, Left
158, 253369, 247.43, Right
159, 243671, 237.95, Left
159, 264897, 258.68, Right
160, 240018, 234.39, Left
160, 257469, 251.43, Right
161, 250599, 244.72, Left
161, 265845, 259.61, Right
162, 227664, 222.32, Left
162, 242219, 236.54, Right
163, 222960, 217.73, Left
163, 228063, 222.71, Right
164, 217097, 212.00, Left
164, 216936, 211.85, Right
167, 240915, 235.26, Left
167, 245723, 239.96, Right
168, 243399, 237.69, Left
168, 242951, 237.25, Right
169, 257196, 251.16, Left
169, 256807, 250.78, Right
170, 256917, 250.89, Left
170, 259150, 253.07, Right
171, 236410, 230.86, Left
171, 242094, 236.41, Right
175, 277655, 271.14, Left
175, 302203, 295.12, Right
178, 277392, 270.89, Left
178, 301421, 294.35, Right
180, 258994, 252.92, Left
180, 293617, 286.73, Right
181, 276428, 269.94, Left
181, 305732, 298.56, Right
182, 246931, 241.14, Left
182, 262062, 255.91, Right
183, 257895, 251.85, Left
183, 272974, 266.57, Right
184, 225535, 220.24, Left
184, 240553, 234.91, Right
185, 212378, 207.40, Left
185, 222698, 217.47, Right
186, 221370, 216.18, Left
186, 231695, 226.26, Right
187, 285366, 278.67, Left
187, 301966, 294.88, Right
188, 252375, 246.45, Left
188, 263590, 257.41, Right
189, 211405, 206.45, Left
189, 219446, 214.30, Right
190, 223533, 218.29, Left
190, 233221, 227.75, Right
191, 245296, 239.54, Left
191, 257877, 251.83, Right
192, 231539, 226.11, Left
192, 236333, 230.79, Right
193, 244770, 239.03, Left
193, 252243, 246.33, Right
194, 222358, 217.14, Left
194, 226973, 221.65, Right
195, 199254, 194.58, Left
195, 208554, 203.66, Right
196, 209172, 204.26, Left
196, 208828, 203.93, Right
197, 220848, 215.67, Left
197, 229350, 223.97, Right
198, 225575, 220.28, Left
198, 229238, 223.86, Right
199, 209126, 204.22, Left
199, 214510, 209.48, Right
200, 206537, 201.69, Left
200, 205241, 200.43, Right
201, 207331, 202.47, Left
201, 209625, 204.71, Right
202, 224108, 218.85, Left
202, 228775, 223.41, Right
203, 238216, 232.63, Left
203, 241631, 235.96, Right
204, 242795, 237.10, Left
204, 236084, 230.55, Right
205, 237681, 232.11, Left
205, 252577, 246.65, Right
206, 255251, 249.26, Left
206, 256921, 250.89, Right
207, 266762, 260.50, Left
207, 276457, 269.97, Right
208, 297532, 290.55, Left
208, 304621, 297.48, Right
210, 310056, 302.78, Left
210, 313227, 305.88, Right
211, 265114, 258.90, Left
211, 275771, 269.30, Right
212, 276687, 270.20, Left
212, 283483, 276.83, Right
213, 253511, 247.56, Left
213, 257729, 251.68, Right
214, 248616, 242.78, Left
214, 252951, 247.02, Right
215, 221307, 216.12, Left
215, 227464, 222.13, Right
216, 247688, 241.88, Left
216, 245365, 239.61, Right
217, 243841, 238.12, Left
217, 270520, 264.17, Right
218, 262934, 256.77, Left
218, 277155, 270.65, Right
219, 325795, 318.15, Left
219, 348848, 340.67, Right
220, 312896, 305.56, Left
220, 335958, 328.08, Right
221, 280604, 274.02, Left
221, 297433, 290.46, Right
222, 293476, 286.59, Left
222, 318637, 311.16, Right
223, 284383, 277.71, Left
223, 314502, 307.13, Right
224, 286017, 279.31, Left
224, 309394, 302.14, Right
225, 272981, 266.58, Left
225, 289872, 283.07, Right
226, 299986, 292.95, Left
226, 331889, 324.11, Right
227, 281816, 275.21, Left
227, 309404, 302.15, Right
228, 303027, 295.92, Left
228, 317116, 309.68, Right
229, 320297, 312.79, Left
229, 334781, 326.93, Right
230, 330824, 323.07, Left
230, 346739, 338.61, Right
233, 374567, 365.78, Left
233, 387460, 378.37, Right
234, 361073, 352.61, Left
234, 387299, 378.22, Right
235, 346273, 338.15, Left
235, 353383, 345.10, Right
236, 320592, 313.07, Left
236, 326724, 319.06, Right
237, 275297, 268.84, Left
237, 281440, 274.84, Right
238, 247647, 241.84, Left
238, 256755, 250.73, Right
239, 243848, 238.13, Left
239, 269073, 262.76, Right
240, 262510, 256.35, Left
240, 273988, 267.56, Right
241, 261684, 255.55, Left
241, 259569, 253.48, Right
242, 253183, 247.24, Left
242, 273832, 267.41, Right
243, 260863, 254.74, Left
243, 257612, 251.57, Right
244, 254745, 248.77, Left
244, 262367, 256.21, Right
245, 231538, 226.11, Left
245, 238982, 233.38, Right
246, 267835, 261.55, Left
246, 274707, 268.26, Right
247, 267215, 260.95, Left
247, 280646, 274.06, Right
248, 245883, 240.12, Left
248, 253980, 248.02, Right
249, 285977, 279.27, Left
249, 298697, 291.69, Right
250, 287270, 280.53, Left
250, 289340, 282.55, Right
251, 299325, 292.30, Left
251, 311020, 303.73, Right
252, 271517, 265.15, Left
252, 289519, 282.73, Right
253, 282392, 275.77, Left
253, 296131, 289.19, Right
254, 259676, 253.58, Left
254, 265241, 259.02, Right
255, 278059, 271.54, Left
255, 286982, 280.25, Right
256, 290315, 283.51, Left
256, 300675, 293.62, Right
257, 280019, 273.45, Left
257, 291720, 284.88, Right
258, 299551, 292.53, Left
258, 308410, 301.18, Right
259, 344554, 336.47, Left
259, 373568, 364.81, Right
260, 356453, 348.09, Left
260, 369675, 361.01, Right
261, 339341, 331.38, Left
261, 406266, 396.74, Right
262, 325674, 318.04, Left
262, 356874, 348.50, Right
263, 288334, 281.57, Left
263, 303723, 296.60, Right
264, 335877, 328.00, Left
264, 359559, 351.13, Right
265, 338341, 330.41, Left
265, 348259, 340.09, Right
266, 334708, 326.86, Left
266, 344606, 336.52, Right
267, 359678, 351.24, Left
267, 374312, 365.53, Right
268, 335210, 327.35, Left
268, 347329, 339.18, Right
269, 338052, 330.12, Left
269, 350778, 342.55, Right
270, 325509, 317.87, Left
270, 337115, 329.21, Right
271, 285565, 278.87, Left
271, 292670, 285.81, Right
272, 292589, 285.73, Left
272, 301670, 294.59, Right
273, 271389, 265.02, Left
273, 279206, 272.66, Right
274, 277441, 270.93, Left
274, 306051, 298.87, Right
275, 286729, 280.00, Left
275, 290644, 283.83, Right
278, 316344, 308.92, Left
278, 333854, 326.02, Right
279, 319069, 311.59, Left
279, 316849, 309.42, Right
280, 314510, 307.13, Left
280, 331672, 323.89, Right
281, 316619, 309.19, Left
281, 329586, 321.86, Right
284, 340672, 332.68, Left
284, 351196, 342.96, Right
285, 317780, 310.33, Left
285, 337233, 329.32, Right
286, 282224, 275.60, Left
286, 304270, 297.13, Right
287, 296008, 289.07, Left
287, 291250, 284.42, Right
288, 325109, 317.48, Left
288, 339101, 331.15, Right
289, 323552, 315.96, Left
289, 333701, 325.87, Right
290, 319757, 312.26, Left
290, 329877, 322.14, Right
291, 254220, 248.26, Left
291, 260176, 254.07, Right
292, 284833, 278.15, Left
292, 296803, 289.84, Right
293, 273327, 266.92, Left
293, 289371, 282.58, Right
297, 295023, 288.10, Left
297, 302882, 295.78, Right
302, 276227, 269.75, Left
302, 279527, 272.97, Right
307, 180873, 176.63, Left
307, 184297, 179.97, Right
313, 194202, 189.65, Left
313, 201739, 197.01, Right
319, 285936, 279.23, Left
319, 285870, 279.16, Right
324, 327126, 319.45, Left
324, 336106, 328.22, Right
329, 356059, 347.71, Left
329, 363427, 354.90, Right
333, 363690, 355.16, Left
333, 362913, 354.40, Right
337, 343173, 335.12, Left
337, 351864, 343.61, Right
341, 375473, 366.67, Left
341, 398556, 389.21, Right
345, 303713, 296.59, Left
345, 319194, 311.71, Right
346, 296030, 289.09, Left
346, 291950, 285.10, Right
347, 276437, 269.95, Left
347, 286631, 279.91, Right
348, 280985, 274.39, Left
348, 289216, 282.43, Right
349, 267396, 261.12, Left
349, 290421, 283.61, Right
350, 284184, 277.52, Left
350, 292432, 285.57, Right
353, 333017, 325.21, Left
353, 352291, 344.03, Right
354, 358378, 349.97, Left
354, 357425, 349.04, Right
355, 337349, 329.44, Left
355, 343771, 335.71, Right
356, 347395, 339.25, Left
356, 349383, 341.19, Right
357, 336183, 328.30, Left
357, 337662, 329.74, Right
358, 320996, 313.47, Left
358, 336109, 328.23, Right
359, 331193, 323.43, Left
359, 334867, 327.01, Right
360, 312938, 305.60, Left
360, 316262, 308.84, Right
362, 329659, 321.93, Left
362, 341646, 333.63, Right
363, 302032, 294.95, Left
363, 311901, 304.59, Right
365, 311657, 304.35, Left
365, 317183, 309.74, Right
366, 316198, 308.78, Left
366, 325542, 317.91, Right
367, 305570, 298.40, Left
367, 325766, 318.13, Right
368, 329241, 321.52, Left
368, 329666, 321.93, Right
369, 325146, 317.52, Left
369, 321002, 313.47, Right
370, 310213, 302.94, Left
370, 305555, 298.39, Right
371, 308362, 301.13, Left
371, 326999, 319.33, Right
372, 296780, 289.82, Left
372, 328264, 320.57, Right
373, 298295, 291.30, Left
373, 311605, 304.30, Right
374, 277207, 270.70, Left
374, 288954, 282.18, Right
375, 276167, 269.69, Left
375, 271454, 265.09, Right
376, 278001, 271.48, Left
376, 283532, 276.88, Right
377, 255792, 249.79, Left
377, 265102, 258.88, Right
378, 268778, 262.47, Left
378, 276889, 270.39, Right
379, 247686, 241.88, Left
379, 256823, 250.80, Right
380, 264775, 258.56, Left
380, 276504, 270.02, Right
381, 241195, 235.54, Left
381, 251295, 245.40, Right
382, 261583, 255.45, Left
382, 273257, 266.85, Right
383, 228335, 222.98, Left
383, 244706, 238.97, Right
384, 236568, 231.02, Left
384, 233742, 228.26, Right
385, 238498, 232.90, Left
385, 233180, 227.71, Right
386, 231611, 226.18, Left
386, 233992, 228.50, Right
387, 249905, 244.04, Left
387, 241361, 235.70, Right
388, 251504, 245.60, Left
388, 246581, 240.80, Right
389, 249296, 243.45, Left
389, 253783, 247.83, Right
390, 263734, 257.55, Left
390, 253297, 247.36, Right
391, 268359, 262.06, Left
391, 257257, 251.22, Right
392, 256680, 250.66, Left
392, 267443, 261.17, Right
393, 276200, 269.72, Left
393, 277770, 271.25, Right
394, 281295, 274.70, Left
394, 282964, 276.33, Right
395, 271176, 264.82, Left
395, 273631, 267.21, Right
396, 281311, 274.71, Left
396, 286302, 279.59, Right
397, 262294, 256.14, Left
397, 261855, 255.71, Right
398, 243410, 237.70, Left
398, 262682, 256.52, Right
399, 255236, 249.25, Left
399, 251222, 245.33, Right
400, 248447, 242.62, Left
400, 263962, 257.77, Right
401, 261056, 254.93, Left
401, 273939, 267.51, Right
402, 254618, 248.65, Left
402, 265090, 258.87, Right
403, 268685, 262.38, Left
403, 284718, 278.04, Right
405, 296934, 289.97, Left
405, 316795, 309.37, Right
406, 298939, 291.93, Left
406, 319476, 311.98, Right
408, 290911, 284.09, Left
408, 311852, 304.54, Right
411, 284779, 278.10, Left
411, 307024, 299.82, Right
412, 292996, 286.12, Left
412, 310434, 303.15, Right
413, 295853, 288.91, Left
413, 326049, 318.40, Right
415, 279430, 272.88, Left
415, 297775, 290.79, Right
416, 287882, 281.13, Left
416, 312478, 305.15, Right
418, 283092, 276.45, Left
418, 307026, 299.83, Right
419, 294409, 287.50, Left
419, 320991, 313.46, Right
420, 274854, 268.41, Left
420, 283998, 277.34, Right
421, 284068, 277.41, Left
421, 308910, 301.66, Right
423, 294257, 287.36, Left
423, 321034, 313.50, Right
424, 289083, 282.30, Left
424, 317007, 309.57, Right
425, 278664, 272.13, Left
425, 301507, 294.44, Right
426, 266979, 260.72, Left
426, 282723, 276.09, Right
428, 290166, 283.36, Left
428, 315506, 308.11, Right
429, 299143, 292.13, Left
429, 314267, 306.90, Right
430, 268984, 262.67, Left
430, 293585, 286.70, Right
431, 279097, 272.55, Left
431, 292343, 285.49, Right
432, 286680, 279.96, Left
432, 313299, 305.95, Right
433, 288312, 281.55, Left
433, 315246, 307.85, Right
434, 286899, 280.17, Left
434, 317159, 309.72, Right
435, 275419, 268.96, Left
435, 302087, 295.00, Right
436, 271751, 265.38, Left
436, 289151, 282.37, Right
437, 295811, 288.87, Left
437, 323007, 315.43, Right
440, 299485, 292.46, Left
440, 323571, 315.98, Right
441, 293879, 286.99, Left
441, 325705, 318.07, Right
442, 277722, 271.21, Left
442, 311388, 304.08, Right
443, 261397, 255.27, Left
443, 286100, 279.39, Right
444, 265188, 258.97, Left
444, 280926, 274.34, Right
445, 296174, 289.23, Left
445, 324838, 317.22, Right
446, 282945, 276.31, Left
446, 306395, 299.21, Right
447, 273038, 266.63, Left
447, 287682, 280.93, Right
448, 248142, 242.32, Left
448, 260045, 253.95, Right
449, 241285, 235.62, Left
449, 264399, 258.20, Right
450, 236037, 230.50, Left
450, 255481, 249.49, Right
451, 236086, 230.55, Left
451, 248904, 243.07, Right
452, 251074, 245.18, Left
452, 268055, 261.77, Right
453, 235693, 230.16, Left
453, 253267, 247.33, Right
454, 228283, 222.93, Left
454, 242574, 236.88, Right
455, 265430, 259.20, Left
455, 287609, 280.86, Right
456, 277212, 270.71, Left
456, 307527, 300.31, Right
457, 270157, 263.82, Left
457, 279963, 273.40, Right
458, 244041, 238.32, Left
458, 261251, 255.12, Right
459, 246621, 240.84, Left
459, 258553, 252.49, Right
460, 254064, 248.10, Left
460, 258633, 252.57, Right
461, 251910, 246.00, Left
461, 268452, 262.16, Right
462, 258784, 252.71, Left
462, 266683, 260.43, Right
463, 247262, 241.46, Left
463, 251492, 245.59, Right
464, 247028, 241.23, Left
464, 252392, 246.47, Right
465, 241651, 235.98, Left
465, 247356, 241.55, Right
466, 236983, 231.42, Left
466, 233623, 228.14, Right
467, 231771, 226.33, Left
467, 230074, 224.68, Right
468, 224406, 219.14, Left
468, 227018, 221.69, Right
469, 224705, 219.43, Left
469, 229664, 224.28, Right
470, 220830, 215.65, Left
470, 227481, 222.14, Right
471, 218730, 213.60, Left
471, 225937, 220.64, Right
472, 224791, 219.52, Left
472, 233040, 227.57, Right
473, 231386, 225.96, Left
473, 239862, 234.24, Right
474, 236338, 230.79, Left
474, 248129, 242.31, Right
475, 246650, 240.86, Left
475, 259623, 253.53, Right
476, 241135, 235.48, Left
476, 251989, 246.08, Right
477, 237397, 231.83, Left
477, 248537, 242.71, Right
478, 225096, 219.82, Left
478, 237326, 231.76, Right
479, 218397, 213.27, Left
479, 218409, 213.29, Right
480, 240413, 234.77, Left
480, 247308, 241.51, Right
481, 238997, 233.39, Left
481, 256709, 250.69, Right
482, 233983, 228.49, Left
482, 240171, 234.54, Right
483, 236907, 231.35, Left
483, 245807, 240.04, Right
484, 237695, 232.12, Left
484, 259214, 253.13, Right
485, 253513, 247.57, Left
485, 258349, 252.29, Right
486, 253442, 247.50, Left
486, 270498, 264.15, Right
487, 257156, 251.12, Left
487, 274281, 267.85, Right
488, 244024, 238.30, Left
488, 254675, 248.70, Right
489, 248261, 242.44, Left
489, 259394, 253.31, Right
490, 256614, 250.59, Left
490, 266136, 259.89, Right
491, 242656, 236.96, Left
491, 253018, 247.08, Right
492, 240191, 234.56, Left
492, 248865, 243.03, Right
493, 239681, 234.06, Left
493, 245536, 239.78, Right
494, 230213, 224.81, Left
494, 233819, 228.33, Right
495, 242691, 237.00, Left
495, 245393, 239.64, Right
496, 256518, 250.50, Left
496, 252142, 246.23, Right
497, 254479, 248.51, Left
497, 272480, 266.09, Right
498, 282662, 276.03, Left
498, 292020, 285.17, Right
499, 308492, 301.26, Left
499, 322419, 314.86, Right
500, 309387, 302.13, Left
500, 315957, 308.55, Right
501, 295842, 288.90, Left
501, 317679, 310.23, Right
502, 311906, 304.59, Left
502, 314292, 306.92, Right
503, 277428, 270.92, Left
503, 287890, 281.14, Right
504, 256561, 250.54, Left
504, 262464, 256.31, Right
505, 276044, 269.57, Left
505, 282322, 275.70, Right
506, 258238, 252.18, Left
506, 278418, 271.89, Right
507, 260467, 254.36, Left
507, 265880, 259.64, Right
508, 269759, 263.43, Left
508, 279604, 273.05, Right
509, 261544, 255.41, Left
509, 269309, 262.99, Right
510, 269070, 262.76, Left
510, 286104, 279.39, Right
511, 267421, 261.15, Left
511, 305833, 298.66, Right
512, 283272, 276.63, Left
512, 306402, 299.22, Right
513, 282703, 276.07, Left
513, 299475, 292.45, Right
514, 284043, 277.38, Left
514, 300010, 292.97, Right
515, 302754, 295.65, Left
515, 319350, 311.86, Right
516, 319014, 311.53, Left
516, 335841, 327.96, Right
517, 289430, 282.64, Left
517, 298707, 291.70, Right
518, 290992, 284.17, Left
518, 308045, 300.82, Right
519, 292206, 285.35, Left
519, 293553, 286.67, Right
520, 289366, 282.58, Left
520, 311462, 304.16, Right
521, 301607, 294.53, Left
521, 313654, 306.30, Right
522, 315691, 308.29, Left
522, 327818, 320.13, Right
523, 315165, 307.77, Left
523, 343174, 335.13, Right
524, 309635, 302.37, Left
524, 326408, 318.75, Right
525, 331189, 323.42, Left
525, 343489, 335.43, Right
526, 326654, 318.99, Left
526, 344429, 336.35, Right
527, 299028, 292.01, Left
527, 319398, 311.91, Right
528, 264565, 258.36, Left
528, 275663, 269.20, Right
529, 268561, 262.26, Left
529, 281378, 274.78, Right
530, 256258, 250.25, Left
530, 271480, 265.11, Right
531, 245221, 239.47, Left
531, 258923, 252.85, Right
532, 249111, 243.27, Left
532, 258011, 251.96, Right
533, 243624, 237.91, Left
533, 246856, 241.07, Right
534, 235518, 229.99, Left
534, 248434, 242.61, Right
535, 246135, 240.36, Left
535, 258603, 252.54, Right
536, 245034, 239.29, Left
536, 256897, 250.87, Right
537, 241147, 235.49, Left
537, 254313, 248.35, Right
538, 258253, 252.20, Left
538, 270265, 263.93, Right
539, 256184, 250.17, Left
539, 257556, 251.51, Right
540, 247207, 241.41, Left
540, 270784, 264.43, Right
541, 257722, 251.68, Left
541, 258500, 252.44, Right
542, 252067, 246.15, Left
542, 279379, 272.83, Right
543, 263877, 257.69, Left
543, 275102, 268.65, Right
544, 270856, 264.50, Left
544, 291418, 284.58, Right
545, 279910, 273.34, Left
545, 299544, 292.52, Right
546, 302056, 294.97, Left
546, 309668, 302.41, Right
547, 291602, 284.76, Left
547, 305160, 298.00, Right
550, 346105, 337.99, Left
550, 360070, 351.63, Right
551, 340673, 332.68, Left
551, 356418, 348.06, Right
552, 328483, 320.78, Left
552, 338472, 330.53, Right
553, 336927, 329.03, Left
553, 352623, 344.35, Right
555, 352310, 344.05, Left
555, 367007, 358.40, Right
556, 359370, 350.94, Left
556, 372253, 363.52, Right
560, 351420, 343.18, Left
560, 366899, 358.29, Right
561, 340847, 332.85, Left
561, 354347, 346.04, Right
562, 325662, 318.02, Left
562, 321599, 314.06, Right
563, 290836, 284.01, Left
563, 297873, 290.89, Right
564, 284572, 277.90, Left
564, 291256, 284.42, Right
565, 266410, 260.16, Left
565, 272969, 266.57, Right
566, 255255, 249.27, Left
566, 261096, 254.97, Right
568, 282272, 275.65, Left
568, 291623, 284.78, Right
569, 307132, 299.93, Left
569, 312449, 305.12, Right
570, 287733, 280.98, Left
570, 310344, 303.07, Right
571, 270757, 264.41, Left
571, 266185, 259.94, Right
572, 263640, 257.46, Left
572, 271057, 264.70, Right
573, 267571, 261.29, Left
573, 275711, 269.24, Right
574, 254146, 248.18, Left
574, 255266, 249.28, Right
575, 328674, 320.97, Left
575, 346524, 338.40, Right
576, 311262, 303.96, Left
576, 327341, 319.66, Right
577, 347015, 338.88, Left
577, 365649, 357.07, Right
578, 327038, 319.37, Left
578, 345270, 337.17, Right
582, 344898, 336.81, Left
582, 358662, 350.25, Right
586, 313516, 306.16, Left
586, 332362, 324.57, Right
590, 287303, 280.56, Left
590, 289011, 282.23, Right
594, 308637, 301.40, Left
594, 322256, 314.70, Right
599, 346414, 338.29, Left
599, 364822, 356.27, Right
604, 366739, 358.14, Left
604, 383088, 374.10, Right
609, 354992, 346.67, Left
609, 374037, 365.27, Right
613, 319442, 311.95, Left
613, 328678, 320.97, Right
617, 291417, 284.58, Left
617, 297434, 290.46, Right
621, 280757, 274.17, Left
621, 284426, 277.75, Right
625, 269105, 262.79, Left
625, 276562, 270.08, Right
629, 242990, 237.29, Left
629, 251982, 246.07, Right
634, 337366, 329.45, Left
634, 357644, 349.26, Right
638, 341468, 333.46, Left
638, 358453, 350.05, Right
642, 366852, 358.25, Left
642, 386413, 377.35, Right
643, 364345, 355.80, Left
643, 395152, 385.89, Right
647, 383264, 374.28, Left
647, 398157, 388.82, Right
648, 395215, 385.95, Left
648, 406843, 397.30, Right
649, 347753, 339.60, Left
649, 365862, 357.28, Right
650, 330304, 322.56, Left
650, 345840, 337.73, Right
651, 281470, 274.87, Left
651, 292743, 285.88, Right
652, 262067, 255.92, Left
652, 273298, 266.89, Right
653, 268641, 262.34, Left
653, 281756, 275.15, Right
654, 280599, 274.02, Left
654, 285176, 278.49, Right
655, 261229, 255.10, Left
655, 265532, 259.30, Right
656, 274551, 268.11, Left
656, 281692, 275.08, Right
657, 278491, 271.96, Left
657, 288531, 281.76, Right
658, 279263, 272.71, Left
658, 294056, 287.16, Right
659, 293706, 286.82, Left
659, 311180, 303.88, Right
663, 340735, 332.74, Left
663, 376009, 367.19, Right
664, 323946, 316.35, Left
664, 360289, 351.84, Right
665, 288795, 282.02, Left
665, 308416, 301.18, Right
666, 305244, 298.08, Left
666, 323201, 315.62, Right
667, 313482, 306.13, Left
667, 334203, 326.37, Right
668, 318048, 310.59, Left
668, 348145, 339.98, Right
669, 294640, 287.73, Left
669, 329645, 321.91, Right
670, 306137, 298.96, Left
670, 328116, 320.42, Right
671, 280358, 273.78, Left
671, 298811, 291.80, Right
673, 327539, 319.86, Left
673, 350904, 342.67, Right
675, 347613, 339.46, Left
675, 375477, 366.67, Right
677, 354018, 345.72, Left
677, 379964, 371.05, Right
678, 351189, 342.95, Left
678, 374886, 366.09, Right
679, 329485, 321.76, Left
679, 367534, 358.91, Right
680, 322075, 314.52, Left
680, 327882, 320.19, Right
681, 304263, 297.13, Left
681, 296086, 289.14, Right
682, 262032, 255.89, Left
682, 298850, 291.84, Right
683, 266320, 260.07, Left
683, 264228, 258.03, Right
684, 268501, 262.20, Left
684, 277261, 270.76, Right
685, 270680, 264.33, Left
685, 273893, 267.47, Right
686, 274063, 267.63, Left
686, 292669, 285.80, Right
687, 295480, 288.55, Left
687, 295437, 288.51, Right
688, 300288, 293.25, Left
688, 316108, 308.69, Right
689, 300874, 293.82, Left
689, 321829, 314.28, Right
690, 293149, 286.27, Left
690, 306457, 299.27, Right
691, 277789, 271.27, Left
691, 266951, 260.69, Right
692, 247498, 241.69, Left
692, 251634, 245.73, Right
693, 253623, 247.67, Left
693, 260889, 254.77, Right
694, 251228, 245.33, Left
694, 259651, 253.56, Right
695, 275865, 269.39, Left
695, 279099, 272.55, Right
696, 264505, 258.30, Left
696, 286035, 279.33, Right
697, 271441, 265.07, Left
697, 266104, 259.86, Right
698, 258272, 252.21, Left
698, 265808, 259.57, Right
699, 266910, 260.65, Left
699, 273811, 267.39, Right
700, 248178, 242.36, Left
700, 248620, 242.79, Right
701, 248880, 243.04, Left
701, 254475, 248.51, Right
702, 266171, 259.93, Left
702, 273227, 266.82, Right
703, 283054, 276.41, Left
703, 296854, 289.89, Right
704, 290485, 283.67, Left
704, 293165, 286.29, Right
705, 286576, 279.85, Left
705, 299728, 292.70, Right
706, 271806, 265.43, Left
706, 270242, 263.90, Right
