Frame Number, File Size (bytes), File Size (kB)
230, 113253, 110.59
231, 109325, 106.76
232, 113348, 110.69
233, 115144, 112.44
234, 123150, 120.26
235, 128454, 125.44
236, 136732, 133.52
237, 139076, 135.81
238, 142042, 138.71
239, 151368, 147.82
240, 153249, 149.65
247, 153675, 150.07
249, 148005, 144.53
250, 150554, 147.02
251, 162338, 158.53
252, 161516, 157.73
253, 168961, 165.00
254, 182254, 177.98
255, 197759, 193.12
256, 216294, 211.22
257, 227986, 222.64
258, 246800, 241.01
259, 259609, 253.52
260, 270905, 264.55
261, 279073, 272.53
262, 268003, 261.72
263, 283548, 276.90
264, 293446, 286.56
265, 295891, 288.95
266, 299884, 292.85
267, 303978, 296.85
268, 308528, 301.29
269, 309145, 301.89
270, 319543, 312.05
271, 305060, 297.91
272, 301932, 294.85
273, 295044, 288.12
274, 316544, 309.12
275, 321914, 314.36
276, 321783, 314.24
277, 327487, 319.81
278, 327095, 319.42
279, 324884, 317.26
280, 297725, 290.74
281, 289061, 282.28
282, 300581, 293.53
283, 302572, 295.48
284, 296967, 290.00
285, 282814, 276.18
286, 281994, 275.38
287, 278399, 271.87
288, 280435, 273.86
289, 278800, 272.26
290, 264919, 258.70
291, 246056, 240.28
292, 240530, 234.89
293, 227610, 222.27
294, 222727, 217.50
295, 223045, 217.81
296, 227638, 222.30
297, 250662, 244.78
298, 234436, 228.94
299, 225942, 220.64
300, 213320, 208.32
301, 202289, 197.54
302, 184844, 180.51
303, 174558, 170.46
304, 152266, 148.69
305, 154327, 150.70
306, 156684, 153.01
307, 122790, 119.91
308, 130292, 127.23
309, 136900, 133.69
310, 139938, 136.65
311, 146510, 143.07
312, 145281, 141.87
313, 148465, 144.98
314, 144595, 141.20
315, 141208, 137.89
316, 133309, 130.18
317, 133930, 130.79
318, 133742, 130.60
319, 129345, 126.31
321, 134096, 130.95
322, 133634, 130.50
323, 128204, 125.19
324, 131513, 128.43
325, 129789, 126.74
326, 128166, 125.16
327, 121025, 118.18
328, 122341, 119.47
329, 115778, 113.06
330, 108859, 106.30
331, 118955, 116.16
332, 123816, 120.91
333, 132712, 129.60
334, 136800, 133.59
335, 144635, 141.24
336, 169763, 165.78
337, 176527, 172.38
338, 188814, 184.38
339, 193833, 189.29
340, 188916, 184.48
341, 200207, 195.51
342, 201625, 196.89
343, 194117, 189.56
344, 192954, 188.43
345, 200614, 195.91
346, 210179, 205.25
347, 191795, 187.29
348, 188133, 183.72
349, 203930, 199.15
350, 216165, 211.09
351, 229171, 223.79
352, 236171, 230.63
353, 258825, 252.75
355, 262840, 256.67
356, 263905, 257.71
359, 270407, 264.06
360, 274023, 267.60
361, 216824, 211.74
362, 231540, 226.11
363, 234611, 229.11
364, 213870, 208.85
365, 227097, 221.77
366, 237299, 231.73
367, 253424, 247.48
368, 263629, 257.45
369, 283028, 276.39
370, 289497, 282.71
371, 268399, 262.10
372, 283238, 276.59
373, 290649, 283.83
374, 286969, 280.24
376, 293417, 286.54
377, 296330, 289.38
380, 293472, 286.59
381, 288202, 281.44
382, 283650, 277.00
383, 270718, 264.37
384, 269565, 263.24
385, 268246, 261.95
386, 272911, 266.51
387, 268121, 261.83
388, 272602, 266.21
389, 266607, 260.35
390, 261327, 255.20
391, 265898, 259.66
392, 257106, 251.08
393, 266778, 260.52
395, 290501, 283.69
396, 288497, 281.73
397, 293222, 286.34
398, 299492, 292.47
399, 294434, 287.53
400, 289316, 282.53
401, 286779, 280.05
402, 284846, 278.16
403, 283908, 277.25
404, 285038, 278.35
405, 289970, 283.17
406, 293155, 286.28
407, 291925, 285.08
408, 279217, 272.67
409, 283781, 277.12
410, 282236, 275.62
411, 272797, 266.40
413, 288906, 282.13
414, 287993, 281.24
415, 285503, 278.81
416, 283495, 276.85
417, 276431, 269.95
418, 271030, 264.67
419, 275811, 269.34
421, 274306, 267.87
422, 274424, 267.99
423, 277421, 270.91
424, 278399, 271.87
425, 273669, 267.25
426, 258109, 252.05
427, 191093, 186.61
428, 169890, 165.90
429, 209952, 205.03
432, 268683, 262.38
433, 260278, 254.17
434, 262293, 256.14
436, 272590, 266.20
437, 273220, 266.81
438, 258678, 252.61
439, 267270, 261.00
440, 248435, 242.61
441, 243964, 238.24
442, 250870, 244.99
443, 248326, 242.50
444, 246796, 241.01
445, 253209, 247.27
447, 243965, 238.24
450, 261161, 255.04
451, 256727, 250.70
452, 235913, 230.38
454, 268211, 261.92
455, 266938, 260.68
456, 271575, 265.20
457, 273229, 266.82
458, 265100, 258.88
461, 276474, 269.99
462, 278392, 271.86
463, 286236, 279.52
464, 290243, 283.44
465, 289270, 282.49
470, 288180, 281.42
471, 281377, 274.78
472, 275354, 268.90
474, 285614, 278.91
475, 288808, 282.03
483, 303509, 296.39
488, 304551, 297.41
489, 306969, 299.77
491, 293901, 287.01
492, 288455, 281.69
497, 302814, 295.71
498, 306937, 299.74
501, 299474, 292.45
503, 303104, 296.00
504, 308714, 301.47
505, 279739, 273.18
506, 255685, 249.69
507, 270186, 263.85
508, 266086, 259.84
509, 218071, 212.95
510, 199367, 194.69
511, 246184, 240.41
512, 251091, 245.20
513, 273920, 267.50
514, 276987, 270.49
515, 271235, 264.87
516, 260811, 254.69
518, 274218, 267.79
519, 282159, 275.54
521, 280825, 274.24
522, 280436, 273.86
523, 251327, 245.43
524, 245294, 239.54
525, 246532, 240.75
526, 260989, 254.87
527, 261553, 255.42
528, 264060, 257.87
530, 273375, 266.96
534, 285238, 278.55
536, 289445, 282.66
537, 295159, 288.24
539, 293521, 286.64
541, 290925, 284.10
542, 288175, 281.42
543, 285432, 278.74
545, 295094, 288.17
546, 294264, 287.36
547, 277498, 270.99
548, 272221, 265.84
549, 265186, 258.97
550, 265725, 259.49
551, 279171, 272.62
553, 290924, 284.10
554, 291588, 284.75
561, 290698, 283.88
564, 299870, 292.84
565, 296775, 289.81
566, 292308, 285.45
567, 270239, 263.90
568, 230825, 225.41
569, 237510, 231.94
570, 261934, 255.79
571, 225361, 220.07
572, 268494, 262.20
573, 272971, 266.57
574, 275120, 268.67
575, 249749, 243.89
576, 223647, 218.40
577, 211914, 206.94
578, 240236, 234.60
579, 274505, 268.07
580, 274443, 268.01
581, 260140, 254.04
582, 264189, 257.99
583, 258485, 252.42
584, 269024, 262.71
585, 274246, 267.81
586, 276812, 270.32
587, 274675, 268.23
588, 270179, 263.84
594, 279508, 272.95
595, 279067, 272.52
596, 278748, 272.21
598, 279650, 273.09
599, 277808, 271.29
600, 275696, 269.23
602, 274759, 268.31
603, 273967, 267.54
604, 258227, 252.17
605, 251404, 245.51
606, 255005, 249.02
608, 269773, 263.45
609, 271308, 264.94
610, 268908, 262.60
611, 264596, 258.39
612, 264347, 258.15
613, 262897, 256.73
614, 258840, 252.77
616, 268829, 262.52
617, 268899, 262.59
618, 269553, 263.23
619, 270278, 263.94
620, 267332, 261.06
621, 266600, 260.35
622, 270619, 264.27
627, 276034, 269.56
629, 273645, 267.23
630, 274367, 267.93
634, 276181, 269.70
635, 268593, 262.29
636, 255978, 249.97
637, 239830, 234.20
638, 260641, 254.53
639, 264952, 258.74
640, 264983, 258.77
641, 257988, 251.94
642, 257325, 251.29
643, 263415, 257.24
644, 269556, 263.23
647, 270692, 264.34
649, 265830, 259.59
652, 268733, 262.43
653, 270966, 264.61
654, 270165, 263.83
656, 270721, 264.37
657, 269051, 262.74
658, 266451, 260.20
659, 270095, 263.76
661, 270613, 264.27
667, 277363, 270.86
668, 276349, 269.87
669, 267568, 261.29
670, 271668, 265.30
676, 270121, 263.79
683, 266333, 260.09
691, 260130, 254.03
700, 266186, 259.94
702, 266557, 260.30
703, 267336, 261.07
704, 263476, 257.30
705, 261552, 255.42
706, 262337, 256.18
707, 264933, 258.72
708, 264810, 258.60
709, 270493, 264.15
710, 270986, 264.63
711, 270703, 264.35
712, 287075, 280.34
713, 282873, 276.24
718, 297220, 290.25
721, 289448, 282.66
727, 300664, 293.61
730, 298866, 291.86
736, 294264, 287.36
741, 291243, 284.41
742, 295285, 288.36
743, 293565, 286.68
744, 287524, 280.78
745, 242296, 236.61
746, 222805, 217.58
747, 250281, 244.41
748, 282129, 275.51
749, 283747, 277.09
750, 264234, 258.04
752, 280034, 273.47
753, 291764, 284.92
754, 294149, 287.25
755, 288607, 281.84
756, 288931, 282.15
757, 291750, 284.91
758, 288535, 281.77
759, 286265, 279.55
760, 276956, 270.46
761, 268866, 262.56
762, 265333, 259.11
763, 253582, 247.63
764, 241330, 235.67
765, 198542, 193.88
766, 182581, 178.30
767, 171333, 167.31
768, 150529, 147.00
769, 144266, 140.88
770, 144796, 141.40
771, 146150, 142.72
772, 147168, 143.71
773, 145544, 142.13
774, 139729, 136.45
775, 137602, 134.37
779, 170145, 166.15
780, 170178, 166.18
785, 167221, 163.30
786, 161261, 157.48
787, 158214, 154.50
788, 154146, 150.53
789, 149964, 146.44
790, 147270, 143.81
791, 143441, 140.07
792, 150395, 146.87
793, 147025, 143.57
794, 158871, 155.14
795, 163143, 159.31
796, 167411, 163.48
797, 161398, 157.61
798, 162919, 159.10
799, 169159, 165.19
800, 178940, 174.74
801, 171124, 167.11
802, 180350, 176.12
803, 184325, 180.00
804, 190540, 186.07
805, 197842, 193.20
806, 207407, 202.54
807, 207966, 203.09
808, 205058, 200.25
809, 206708, 201.86
811, 211804, 206.83
812, 218201, 213.08
813, 218214, 213.09
814, 223077, 217.84
815, 226460, 221.15
816, 224107, 218.85
817, 230193, 224.79
818, 238009, 232.43
819, 235626, 230.10
822, 237929, 232.35
823, 239157, 233.55
824, 242864, 237.17
825, 242394, 236.71
826, 241182, 235.52
827, 239050, 233.44
828, 240671, 235.03
829, 243072, 237.37
830, 239888, 234.26
831, 231328, 225.90
832, 232550, 227.09
833, 234967, 229.45
834, 238463, 232.87
835, 242680, 236.99
836, 241045, 235.39
839, 243417, 237.71
840, 241392, 235.73
841, 238914, 233.31
846, 248699, 242.87
854, 254010, 248.05
855, 256472, 250.46
859, 260926, 254.81
860, 258695, 252.63
861, 254987, 249.01
862, 254683, 248.71
865, 262490, 256.33
866, 260791, 254.67
867, 261663, 255.53
868, 260376, 254.27
869, 259566, 253.48
872, 256404, 250.39
873, 256505, 250.49
877, 257155, 251.12
879, 252934, 247.00
880, 251126, 245.24
881, 244201, 238.47
882, 251923, 246.01
883, 239162, 233.55
884, 209367, 204.45
885, 198416, 193.76
886, 175283, 171.17
887, 183728, 179.42
888, 179893, 175.67
889, 169097, 165.13
890, 171964, 167.93
891, 185007, 180.67
892, 185811, 181.45
893, 183965, 179.65
894, 183496, 179.19
895, 180735, 176.49
896, 166204, 162.30
897, 181870, 177.60
898, 210958, 206.01
900, 220648, 215.47
901, 211905, 206.93
902, 209608, 204.69
903, 199713, 195.03
904, 190088, 185.63
905, 192204, 187.69
906, 203252, 198.48
907, 198325, 193.67
908, 196818, 192.20
909, 193243, 188.71
910, 191524, 187.03
911, 175423, 171.31
912, 164634, 160.77
913, 148497, 145.01
914, 130785, 127.71
915, 124702, 121.77
916, 115997, 113.27
917, 117331, 114.58
918, 116545, 113.81
919, 120793, 117.96
920, 128508, 125.49
921, 130969, 127.89
922, 136698, 133.49
923, 158693, 154.97
924, 161657, 157.86
925, 165733, 161.84
926, 184428, 180.10
927, 203008, 198.25
928, 224703, 219.43
929, 235155, 229.64
930, 228779, 223.41
931, 247037, 241.24
932, 248606, 242.77
933, 226754, 221.43
934, 242793, 237.10
935, 259017, 252.94
936, 256754, 250.73
937, 248792, 242.96
938, 268067, 261.78
939, 267755, 261.47
940, 248528, 242.70
941, 224608, 219.34
942, 212073, 207.10
943, 226550, 221.24
944, 243715, 238.00
945, 237395, 231.83
946, 219592, 214.44
947, 226227, 220.92
948, 251574, 245.67
949, 271557, 265.19
950, 256945, 250.92
951, 265838, 259.60
952, 272864, 266.46
953, 264389, 258.19
954, 268603, 262.30
955, 269137, 262.82
956, 257452, 251.41
957, 259760, 253.67
958, 262683, 256.52
959, 251343, 245.45
960, 232795, 227.33
961, 242460, 236.77
962, 233012, 227.55
963, 232785, 227.32
964, 233536, 228.06
965, 246217, 240.44
966, 254991, 249.01
967, 270356, 264.01
968, 267944, 261.66
969, 278606, 272.07
970, 273704, 267.28
971, 272164, 265.78
972, 272651, 266.26
973, 261786, 255.65
974, 263318, 257.14
975, 259691, 253.60
976, 262148, 256.00
977, 283145, 276.50
978, 276332, 269.85
979, 271782, 265.41
980, 273023, 266.62
981, 282119, 275.50
982, 273789, 267.37
983, 256058, 250.05
984, 259714, 253.62
985, 244216, 238.49
986, 236795, 231.24
987, 229248, 223.87
988, 232658, 227.20
989, 249058, 243.22
990, 245141, 239.39
991, 241595, 235.93
992, 243957, 238.23
993, 232064, 226.62
994, 245517, 239.76
995, 237129, 231.57
996, 248429, 242.60
997, 263055, 256.88
998, 244623, 238.88
999, 250105, 244.24
1000, 248651, 242.82
1001, 235066, 229.55
1002, 230606, 225.20
1003, 236320, 230.78
1004, 250326, 244.45
1005, 247947, 242.13
1006, 229101, 223.73
1007, 228264, 222.91
1008, 220925, 215.74
1009, 226923, 221.60
1010, 220588, 215.41
1011, 216866, 211.78
1012, 226236, 220.93
1013, 211994, 207.02
1014, 209446, 204.53
1015, 210659, 205.72
1016, 209589, 204.67
1017, 213558, 208.55
1018, 214597, 209.56
1019, 216991, 211.90
1020, 191430, 186.94
1021, 189774, 185.32
1022, 203362, 198.59
1023, 192597, 188.08
1024, 193982, 189.43
1025, 207743, 202.87
1026, 203921, 199.14
1027, 203746, 198.97
1028, 209434, 204.52
1029, 212181, 207.20
1030, 200600, 195.89
1031, 205121, 200.31
1032, 210324, 205.39
1033, 207971, 203.09
1034, 213333, 208.33
1035, 221254, 216.06
1036, 218753, 213.62
1037, 223862, 218.61
1038, 235589, 230.06
1039, 219070, 213.93
1040, 249909, 244.05
1041, 265167, 258.95
1042, 252486, 246.56
1043, 235736, 230.21
1044, 238489, 232.89
1045, 243903, 238.18
1046, 243091, 237.39
1047, 265709, 259.48
1048, 289010, 282.23
1049, 274059, 267.63
1050, 264162, 257.97
1051, 265028, 258.81
1052, 260183, 254.08
1053, 237981, 232.40
1054, 242355, 236.67
1055, 243723, 238.01
1056, 230026, 224.63
1057, 244617, 238.88
1058, 249602, 243.75
1059, 246715, 240.93
1060, 242718, 237.02
1061, 233499, 228.02
1062, 232150, 226.70
1063, 248720, 242.89
1064, 244281, 238.55
1065, 243475, 237.76
1066, 236680, 231.13
1067, 232586, 227.13
1068, 228544, 223.18
1069, 239032, 233.42
1070, 258114, 252.06
1071, 259462, 253.38
1072, 253707, 247.76
1073, 274652, 268.21
1074, 271451, 265.08
1075, 264058, 257.86
1076, 270331, 263.99
1077, 258508, 252.44
1078, 269895, 263.56
1079, 282384, 275.76
1080, 292189, 285.34
1081, 288978, 282.20
1082, 287896, 281.14
1083, 285345, 278.65
1084, 290862, 284.04
1085, 270198, 263.86
1086, 282976, 276.34
1087, 296033, 289.09
1088, 295521, 288.59
1089, 246091, 240.32
1090, 256123, 250.12
1091, 251583, 245.68
1092, 242550, 236.86
1093, 225551, 220.26
1094, 245127, 239.38
1095, 257696, 251.65
1096, 260309, 254.20
1097, 259143, 253.06
1098, 272438, 266.05
1099, 267112, 260.85
1100, 285136, 278.45
1101, 293795, 286.90
1102, 300500, 293.45
1104, 309003, 301.76
1105, 315374, 307.98
1106, 280254, 273.68
1107, 269754, 263.43
1108, 265873, 259.64
1109, 246961, 241.17
1110, 257711, 251.67
1111, 266267, 260.02
1112, 267676, 261.40
1113, 265670, 259.44
1114, 245895, 240.13
1115, 253571, 247.62
1116, 257444, 251.41
1117, 243038, 237.34
1118, 249681, 243.82
1119, 255752, 249.75
1120, 241862, 236.19
1121, 241355, 235.69
1122, 242716, 237.02
1123, 238936, 233.33
1124, 263202, 257.03
1125, 250984, 245.10
1126, 234921, 229.41
1127, 234427, 228.93
1128, 236940, 231.38
1129, 241326, 235.66
1130, 263849, 257.66
1131, 257667, 251.62
1132, 242798, 237.10
1133, 260021, 253.92
1134, 251267, 245.37
1135, 235988, 230.45
1136, 258979, 252.90
1137, 269387, 263.07
1138, 279506, 272.95
1139, 297482, 290.50
1140, 284961, 278.28
1141, 271978, 265.60
1142, 280784, 274.20
1143, 290254, 283.45
1144, 323973, 316.37
1145, 313902, 306.54
1146, 293967, 287.07
1147, 278172, 271.65
1148, 281236, 274.64
1149, 240615, 234.97
1150, 245220, 239.47
1151, 284911, 278.23
1152, 285876, 279.17
1153, 280676, 274.09
1154, 294062, 287.16
1155, 288682, 281.91
1156, 282845, 276.21
1157, 262158, 256.01
1158, 269707, 263.38
1159, 281532, 274.93
1160, 291837, 284.99
1161, 285721, 279.02
1162, 292975, 286.10
1163, 289010, 282.23
1164, 264348, 258.15
1165, 278107, 271.58
1166, 303946, 296.82
1167, 303618, 296.50
1168, 309083, 301.83
1169, 291661, 284.82
1170, 305493, 298.33
1171, 286649, 279.93
1172, 279330, 272.78
1173, 280099, 273.53
1174, 264189, 257.99
1175, 232319, 226.87
1176, 224876, 219.60
1177, 248200, 242.38
1178, 261255, 255.13
1179, 255663, 249.67
1180, 273987, 267.56
1181, 294539, 287.63
1182, 297714, 290.73
1183, 278996, 272.45
1184, 281299, 274.70
1185, 261392, 255.26
1186, 259601, 253.51
1187, 298531, 291.53
1188, 309034, 301.79
1189, 305403, 298.24
1190, 306387, 299.20
1191, 286049, 279.34
1192, 278059, 271.54
1193, 270994, 264.64
1194, 230553, 225.14
1195, 220469, 215.30
1196, 239569, 233.95
1197, 247637, 241.83
1198, 251896, 245.99
1199, 266346, 260.10
1200, 286337, 279.62
1201, 297945, 290.96
1202, 284902, 278.22
1203, 295543, 288.61
1204, 303643, 296.52
1205, 337214, 329.31
1206, 341583, 333.57
1207, 317075, 309.64
1208, 288630, 281.86
1209, 275509, 269.05
1210, 319528, 312.03
1211, 319733, 312.23
1212, 332997, 325.19
1213, 313956, 306.59
1214, 324514, 316.90
1215, 317229, 309.79
1216, 325950, 318.31
1217, 290948, 284.12
1218, 294161, 287.26
1219, 298731, 291.72
1220, 322750, 315.18
1221, 342165, 334.14
1222, 309577, 302.32
1223, 344431, 336.35
1224, 354569, 346.25
1225, 360773, 352.31
1226, 365573, 357.00
1227, 369148, 360.49
1229, 387166, 378.09
1230, 385477, 376.44
1231, 322323, 314.76
1232, 270010, 263.68
1233, 255299, 249.31
1234, 272022, 265.64
1235, 253216, 247.28
1236, 277465, 270.96
1237, 290538, 283.72
1238, 281667, 275.06
1239, 296196, 289.25
1240, 292769, 285.90
1241, 288924, 282.15
1242, 270968, 264.61
1243, 296260, 289.31
1244, 301746, 294.67
1245, 304945, 297.79
1246, 278679, 272.14
1247, 308622, 301.38
1248, 313464, 306.11
1249, 302862, 295.76
1250, 316813, 309.38
1251, 303411, 296.29
1252, 293588, 286.70
1253, 298460, 291.46
1254, 270495, 264.15
1255, 274162, 267.73
1256, 279783, 273.22
1257, 297570, 290.59
1258, 250911, 245.03
1259, 226024, 220.72
1260, 306826, 299.63
1261, 352212, 343.95
1262, 361548, 353.07
1263, 312641, 305.31
1264, 363766, 355.24
1266, 376941, 368.10
1267, 369577, 360.91
1268, 374203, 365.43
1269, 327000, 319.33
1270, 284986, 278.30
1271, 270695, 264.35
1272, 307599, 300.38
1273, 300938, 293.88
1275, 360666, 352.21
1276, 366588, 357.99
1277, 363101, 354.59
1278, 284292, 277.62
1279, 256241, 250.23
1280, 281606, 275.00
1281, 273491, 267.08
1282, 280968, 274.38
1283, 290563, 283.75
1284, 266670, 260.41
1285, 276087, 269.61
1286, 271468, 265.10
1287, 286231, 279.52
1288, 286929, 280.20
1289, 305482, 298.32
1290, 305084, 297.93
1291, 344994, 336.90
1292, 340464, 332.48
1293, 306017, 298.84
1294, 333003, 325.19
1295, 326539, 318.88
1296, 324246, 316.64
1297, 308810, 301.57
1298, 346941, 338.80
1299, 335415, 327.55
1300, 331416, 323.64
1301, 325256, 317.63
1302, 334464, 326.62
1303, 307513, 300.30
1304, 292822, 285.95
1305, 308717, 301.48
1306, 265898, 259.66
1307, 278974, 272.43
1308, 279394, 272.84
1309, 289118, 282.34
1311, 266341, 260.09
1318, 221577, 216.38
1328, 191370, 186.88
1340, 183821, 179.51
1353, 219844, 214.69
1361, 247379, 241.58
1367, 308165, 300.94
1369, 320154, 312.65
1370, 322889, 315.32
1371, 300718, 293.66
1372, 295888, 288.95
1373, 304790, 297.64
1374, 313866, 306.50
1375, 317793, 310.34
1376, 334925, 327.07
1377, 254503, 248.53
1378, 249192, 243.35
1379, 295919, 288.98
1380, 297279, 290.31
1381, 263619, 257.44
1382, 291098, 284.27
1383, 304843, 297.69
1384, 306747, 299.55
1385, 300429, 293.38
1386, 301515, 294.44
